Designator,Mid X,Mid Y,Rotation,Layer
C1,38.3,-29.38,270.0,bottom
C10,24.1,-22.4,180.0,top
C11,36.9,-25.2,90.0,bottom
C12,22.8,-40.2,0.0,top
C13,28.38,-30.1,0.0,bottom
C14,28.38,-31.04,0.0,bottom
C15,28.38,-32.01,0.0,bottom
C16,28.38,-33.01,0.0,bottom
C17,27.42,-41.21,0.0,top
C18,27.42,-40.1,0.0,top
C19,19.4,-32.28,90.0,top
C2,31.4,-37.22,90.0,bottom
C20,24.2,-23.9,0.0,bottom
C21,23.82,-38.4,0.0,bottom
C22,22.4,-36.68,270.0,bottom
C23,36.9,-32.38,90.0,bottom
C24,22.2,-25.02,90.0,bottom
C25,31.98,-40.5,180.0,top
C26,22.4,-33.08,270.0,bottom
C27,25.02,-28.9,0.0,bottom
C28,52.2,-18.8,180.0,top
C29,50.32,-25.4,180.0,bottom
C3,39.6,-22.88,90.0,top
C30,56.1,-27.8,90.0,bottom
C31,59.38,-28.6,180.0,bottom
C32,48.7,-29.38,90.0,bottom
C33,59.38,-30.6,180.0,bottom
C34,59.4,-36.1,180.0,bottom
C35,53.0,-34.7,0.0,bottom
C36,53.0,-25.4,0.0,bottom
C37,48.7,-37.08,270.0,bottom
C38,50.32,-26.4,180.0,bottom
C39,53.02,-37.8,0.0,bottom
C4,35.7,-37.7,180.0,bottom
C40,48.7,-34.82,270.0,bottom
C41,53.02,-36.4,0.0,bottom
C42,59.4,-37.2,180.0,bottom
C43,26.0,-59.35,0.0,top
C44,18.03,-47.9,0.0,top
C45,18.03,-51.4,0.0,top
C46,28.5,-48.0,0.0,bottom
C47,28.5,-49.5,0.0,bottom
C48,28.5,-52.5,0.0,bottom
C49,28.5,-51.0,0.0,bottom
C5,30.38,-30.1,0.0,bottom
C50,24.98,-48.0,0.0,bottom
C51,24.98,-49.5,0.0,bottom
C52,25.0,-50.5,0.0,bottom
C53,25.02,-51.7,0.0,bottom
C54,37.1,-29.38,90.0,bottom
C55,18.08,-49.7,0.0,bottom
C56,17.1,-40.38,270.0,top
C57,19.1,-40.38,270.0,top
C58,48.3,-51.58,90.0,top
C59,58.52,-48.2,0.0,top
C6,30.38,-31.04,0.0,bottom
C60,59.05,-56.8,180.0,top
C61,59.05,-54.8,180.0,top
C62,49.9,-49.3,90.0,top
C63,35.4,-56.25,0.0,bottom
C64,48.3,-49.32,90.0,top
C65,51.9,-49.3,90.0,top
C66,35.4,-58.3,0.0,bottom
C67,38.52,-58.8,180.0,bottom
